filename,corner,x_position,y_position,frame_type
000-171-764.tif,bottom,3390,4408,wild_rhone
000-384-694.tif,top,3492,285,wild_blocky
000-384-694.tif,left,274,2318,wild_blocky
000-384-694.tif,right,6709,2308,wild_blocky
000-384-694.tif,bottom,3497,4337,wild_blocky
000-377-341.tif,top,3493,292,wild_rhone
000-377-341.tif,left,275,2316,wild_rhone
000-377-341.tif,right,6709,2322,wild_rhone
000-377-341.tif,bottom,3491,4347,wild_rhone
000-384-695.tif,top,3506,280,wild_blocky
000-384-695.tif,left,284,2303,wild_blocky
000-384-695.tif,right,6716,2314,wild_blocky
000-384-695.tif,bottom,3498,4335,wild_blocky
000-370-012.tif,top,3446,308,wild_rhone
000-370-012.tif,left,212,2321,wild_rhone
000-370-012.tif,right,6647,2368,wild_rhone
000-370-012.tif,bottom,3414,4364,wild_rhone
000-386-371.tif,top,3508,258,wild_small_triangular
000-386-371.tif,left,300,2284,wild_small_triangular
000-386-371.tif,right,6725,2289,wild_small_triangular
000-386-371.tif,bottom,3510,4316,wild_small_triangular
000-384-960.tif,top,3480,252,wild_small_triangular
000-384-960.tif,left,262,2274,wild_small_triangular
000-384-960.tif,right,6695,2284,wild_small_triangular
000-384-960.tif,bottom,3478,4306,wild_small_triangular
000-173-890.tif,top,3454,351,wild_rhone
000-173-890.tif,left,237,2377,wild_rhone
000-173-890.tif,right,6669,2390,wild_rhone
000-173-890.tif,bottom,3439,4400,wild_rhone
000-384-964.tif,top,3468,264,wild_small_triangular
000-384-964.tif,left,249,2288,wild_small_triangular
000-384-964.tif,right,6682,2292,wild_small_triangular
000-384-964.tif,bottom,3468,4315,wild_small_triangular
000-352-208.tif,top,3476,369,wild_rhone
000-352-208.tif,left,261,2405,wild_rhone
000-352-208.tif,right,6695,2395,wild_rhone
000-352-208.tif,bottom,3482,4422,wild_rhone
000-170-514.tif,top,3481,395,wild_rhone
000-170-514.tif,left,294,2443,wild_rhone
000-170-514.tif,right,6723,2411,wild_rhone
000-170-514.tif,bottom,3503,4452,wild_rhone
000-170-829.tif,top,3447,362,wild_rhone
000-170-829.tif,left,234,2386,wild_rhone
000-170-829.tif,right,6669,2397,wild_rhone
000-170-829.tif,bottom,3441,4414,wild_rhone
000-369-983.tif,top,3577,313,wild_rhone
000-369-983.tif,left,346,2329,wild_rhone
000-369-983.tif,right,6781,2364,wild_rhone
000-369-983.tif,bottom,3552,4366,wild_rhone
000-383-832.tif,top,3489,323,wild_blocky
000-383-832.tif,left,274,2362,wild_blocky
000-383-832.tif,right,6708,2350,wild_blocky
000-383-832.tif,bottom,3496,4378,wild_blocky
000-350-141.tif,top,3524,319,wild_rhone
000-350-141.tif,left,297,2336,wild_rhone
000-350-141.tif,right,6732,2359,wild_rhone
000-350-141.tif,bottom,3509,4374,wild_rhone
000-384-645.tif,top,3493,280,wild_blocky
000-384-645.tif,left,275,2308,wild_blocky
000-384-645.tif,right,6709,2306,wild_blocky
000-384-645.tif,bottom,3496,4334,wild_blocky
000-388-167.tif,top,3480,260,wild_triangular
000-388-167.tif,left,261,2290,wild_triangular
000-388-167.tif,right,6698,2287,wild_triangular
000-388-167.tif,bottom,3482,4315,wild_triangular
000-383-644.tif,top,3530,270,wild_rhone
000-383-644.tif,left,310,2292,wild_rhone
000-383-644.tif,right,6748,2298,wild_rhone
000-383-644.tif,bottom,3530,4321,wild_rhone
000-357-888.tif,top,3514,275,wild_rhone
000-357-888.tif,left,286,2291,wild_rhone
000-357-888.tif,right,6720,2317,wild_rhone
000-357-888.tif,bottom,3497,4331,wild_rhone
000-375-429.tif,top,3448,346,wild_rhone
000-375-429.tif,left,228,2376,wild_rhone
000-375-429.tif,right,6664,2386,wild_rhone
000-375-429.tif,bottom,3443,4401,wild_rhone
000-344-562.tif,top,3546,333,wild_rhone
000-344-562.tif,left,339,2383,wild_rhone
000-344-562.tif,right,6771,2350,wild_rhone
000-344-562.tif,bottom,3566,4387,wild_rhone
000-371-279.tif,top,3439,368,wild_rhone
000-371-279.tif,left,219,2401,wild_rhone
000-371-279.tif,right,6656,2400,wild_rhone
000-371-279.tif,bottom,3441,4423,wild_rhone
000-365-906.tif,top,3478,326,wild_blocky
000-365-906.tif,left,264,2361,wild_blocky
000-365-906.tif,right,6704,2344,wild_blocky
000-365-906.tif,bottom,3490,4380,wild_blocky
000-376-081.tif,top,3488,332,wild_rhone
000-376-081.tif,left,273,2358,wild_rhone
000-376-081.tif,right,6704,2363,wild_rhone
000-376-081.tif,bottom,3489,4384,wild_rhone
000-386-708.tif,top,3510,282,wild_small_triangular
000-386-708.tif,left,290,2306,wild_small_triangular
000-386-708.tif,right,6724,2320,wild_small_triangular
000-386-708.tif,bottom,3503,4336,wild_small_triangular
000-365-469.tif,top,3468,273,wild_blocky
000-365-469.tif,left,258,2310,wild_blocky
000-365-469.tif,right,6692,2286,wild_blocky
000-365-469.tif,bottom,3485,4323,wild_blocky
000-376-560.tif,top,3477,297,wild_rhone
000-376-560.tif,left,263,2332,wild_rhone
000-376-560.tif,right,6694,2324,wild_rhone
000-376-560.tif,bottom,3480,4355,wild_rhone
000-348-027.tif,top,3416,379,wild_rhone
000-348-027.tif,left,217,2437,wild_rhone
000-348-027.tif,right,6644,2390,wild_rhone
000-348-027.tif,bottom,3444,4431,wild_rhone
000-348-051.tif,top,3465,382,wild_rhone
000-348-051.tif,left,260,2425,wild_rhone
000-348-051.tif,right,6684,2402,wild_rhone
000-348-051.tif,bottom,3478,4435,wild_rhone
000-174-764.tif,top,3413,364,wild_rhone
000-174-764.tif,left,190,2385,wild_rhone
000-174-764.tif,right,6620,2408,wild_rhone
000-174-764.tif,bottom,3396,4417,wild_rhone
000-344-892.tif,top,3533,283,wild_rhone
000-344-892.tif,left,309,2300,wild_rhone
000-344-892.tif,right,6740,2327,wild_rhone
000-344-892.tif,bottom,3517,4341,wild_rhone
000-373-897.tif,top,3459,343,wild_rhone
000-373-897.tif,left,234,2366,wild_rhone
000-373-897.tif,right,6666,2388,wild_rhone
000-373-897.tif,bottom,3444,4396,wild_rhone
000-379-617.tif,top,3471,276,wild_rhone
000-379-617.tif,left,263,2309,wild_rhone
000-379-617.tif,right,6688,2305,wild_rhone
000-379-617.tif,bottom,3475,4330,wild_rhone
000-174-609.tif,top,3476,309,wild_rhone
000-174-609.tif,left,263,2339,wild_rhone
